COURSE CODE ,"23MCA1CC4   
",,,,,,TITLE OF THE COURSE ,,,,Resource Management Techniques,,,,,,,,,,,,,,Total No. of Students,,,,58.00,,,,,
Register Number,Q.No./ Exam,,LOT,MOT,HOT,TOTAL Not needed for Calc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,32,50,2,84.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,19,26,7,52.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA073,CIA - I,,12,20,3,35.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,20,21,0,41.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,32,41,3,76.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,18,19,7,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA074,CIA - I,,19,31,8,58.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,20,27,4,51.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,39,58,12,109.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,20,31,8,59.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA075,CIA - I,,14,15,2,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,18,11,0,29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,32,26,2,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,16,28,7,51.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA076,CIA - I,,16,14,4,34.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,18,21,0,39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,34,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,17,30,8,55.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA077,CIA - I,,14,16,0,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,20,20,6,46.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,34,36,6,76.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,20,30,0,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA078,CIA - I,,17,31,10,58.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,20,26,6,52.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,37,57,16,110.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,20,31,8,59.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA079,CIA - I,,21,19,0,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,26,26,7,59.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,47,45,7,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
